epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4640.44,0.77812,0.77065,1.06594,0.88256,0.8071,0.88348,0.72539,0.71013,0.77533,1.03284,0.000990365,0.000990365,0.000990365
43,4730.3,0.7046,0.74496,1.00385,0.90518,0.79005,0.89039,0.73006,0.69821,0.73406,1.02428,0.000973861,0.000973861,0.000973861
44,4823.53,0.7262,0.70546,1.01364,0.89001,0.77095,0.87356,0.71365,0.72493,0.77286,1.03952,0.000957358,0.000957358,0.000957358
45,4912.29,0.6424,0.68074,0.99707,0.84537,0.81414,0.87834,0.72429,0.67238,0.75804,1.00333,0.000940855,0.000940855,0.000940855
46,5000.85,0.72056,0.79464,1.04007,0.85376,0.84371,0.87974,0.70721,0.71682,0.7933,1.02638,0.000924352,0.000924352,0.000924352
47,5090.37,0.73207,0.7209,1.01483,0.85871,0.86064,0.88937,0.72611,0.67375,0.76486,1.0073,0.000907848,0.000907848,0.000907848
48,5178.05,0.62254,0.63595,0.9574,0.91521,0.72525,0.85432,0.70406,0.67602,0.82662,1.02568,0.000891345,0.000891345,0.000891345
49,5267.47,0.57587,1.05055,0.8969,0.92388,0.72727,0.85998,0.69969,0.69607,0.84779,1.04524,0.000874842,0.000874842,0.000874842
50,5357.14,0.66772,0.66552,0.96511,0.91798,0.73838,0.82114,0.68646,0.68376,0.89236,1.0273,0.000858338,0.000858338,0.000858338
51,5447.23,0.65919,0.61897,0.97601,0.87053,0.7833,0.83919,0.68868,0.71486,0.86235,1.0143,0.000841835,0.000841835,0.000841835
52,5535.78,0.64302,0.60694,0.96973,0.95793,0.72505,0.85124,0.70152,0.72479,0.8885,1.03079,0.000825332,0.000825332,0.000825332
53,5624.52,0.69818,0.64123,0.96489,0.9345,0.76061,0.865,0.71582,0.68751,0.78463,1.01263,0.000808828,0.000808828,0.000808828
54,5713.84,0.68009,0.64599,0.97448,0.91595,0.77172,0.86812,0.70884,0.66483,0.77309,0.97862,0.000792325,0.000792325,0.000792325
55,5803.36,0.6289,0.61445,0.98379,0.84952,0.78081,0.83222,0.7135,0.64876,0.82687,0.97775,0.000775822,0.000775822,0.000775822
